B2 F1 R3 

Serial number: MT2046T01555   |    GUID: 043F720300EA5AB8
Serial number: MT2046T01566   |    GUID: 043F720300EA5ADC
Serial number: MT2046T01083   |    GUID: 043F720300EA580C
Serial number: MT2046T01121   |    GUID: 043F720300EA5980
Serial number: MT2046T01221   |    GUID: 043F720300EA5CD0
Serial number: MT2046T01554   |    GUID: 043F720300EA5AB4
Serial number: MT2027J18752   |    GUID: 0C42A10300CA79C0
Serial number: MT2027J18760   |    GUID: 0C42A10300CA7A00
Serial number: MT2027J18745   |    GUID: 0C42A10300CA7988
Serial number: MT2027J18727   |    GUID: 0C42A10300CA78F8
Serial number: MT2027J18748   |    GUID: 0C42A10300CA79A0
Serial number: MT2027J18855   |    GUID: 0C42A10300CA7CF8
Serial number: MT2046J03323   |    GUID: 043F720300EC2B02
Serial number: MT2046J03351   |    GUID: 043F720300EC2BE2
Serial number: MT2046J03409   |    GUID: 043F720300EC2DB2
Serial number: MT2046J03417   |    GUID: 043F720300EC2DF2
Serial number: MT2030J24656   |    GUID: 0C42A10300E3DA54
Serial number: MT2046J03369   |    GUID: 043F720300EC2C72
Serial number: MT1945X19743   |    GUID: 1C34DA0300432428
Serial number: MT1945X19179   |    GUID: 1C34DA030043097C
Serial number: MT1939K04925   |    GUID: B8599F0300E03AA4
Serial number: MT1945X19737   |    GUID: 1C34DA0300432410
Serial number: MT1945X19183   |    GUID: 1C34DA030043098C
Serial number: MT1937X09822   |    GUID: B8599F0300D500EA
Serial number: MT2028X29908   |    GUID: 1C34DA0300EBA500
Serial number: MT2048J12201   |    GUID: 043F720300F72C02
Serial number: MT2046t00312   |    GUID: 043F720300EA24B8
Serial number: MT2046t00238   |    GUID: 043F720300EA2390
Serial number: MT2046t01805   |    GUID: 043F720300EA6200
Serial number: MT2046t01807   |    GUID: 043F720300EA6208
Serial number: MT2046t01855   |    GUID: 043F720300EA64D8
Serial number: MT2046t01811   |    GUID: 043F720300EA6218
Serial number: MT2046J03380   |    GUID: 043F720300EC2CCA
Serial number: MT2046J03509   |    GUID: 043F720300EC30DA
Serial number: MT2046J03370   |    GUID: 043F720300EC2C7A
Serial number: MT2046J03515   |    GUID: 043F720300EC310A
Serial number: MT2046J03487   |    GUID: 043F720300EC302A
Serial number: MT2046J03353   |    GUID: 043F720300EC2BF2
Serial number: MT2046J03528   |    GUID: 043F720300EC3172
Serial number: MT2046J03317   |    GUID: 043F720300EC2AD2




B2 F2 R4 

Serial number: MT2030J24332   |    GUID: 0C42A10300E3E524
Serial number: MT2046J03416   |    GUID: 043F720300EC2DEA
Serial number: MT2030J24517   |    GUID: 0C42A10300E3E1D4
Serial number: MT2030J24654   |    GUID: 0C42A10300E3DA44
Serial number: MT2046J03342   |    GUID: 043F720300EC2B9A
Serial number: MT2046J03473   |    GUID: 043F720300EC2FB2
Serial number: MT2046J03482   |    GUID: 043F720300EC2FFA
Serial number: MT2046J03462   |    GUID: 043F720300EC2F5A
Serial number: MT1945X19742   |    GUID: 1C34DA0300432424
Serial number: MT1939K04921   |    GUID: B8599F0300E03A94
Serial number: MT1939K04759   |    GUID: B8599F0300E0448C
Serial number: MT1945X19185   |    GUID: 1C34DA0300430994
Serial number: MT2037J06650   |    GUID: 1C34DA0300F7E5C0
Serial number: MT2048J12767   |    GUID: 043F720300F73532
Serial number: MT2046J03454   |    GUID: 043F720300EC2F1A
Serial number: MT2046J03348   |    GUID: 043F720300EC2BCA
Serial number: MT2046J03428   |    GUID: 043F720300EC2E4A
Serial number: MT2046J03522   |    GUID: 043F720300EC3142
Serial number: MT2046J03486   |    GUID: 043F720300EC301A
Serial number: MT2046J03491   |    GUID: 043F720300EC304A
Serial number: MT2046J03438   |    GUID: 043F720300EC2E9A
Serial number: MT2046J03434   |    GUID: 043F720300EC2E7A
Serial number: MT2046J03449   |    GUID: 043F720300EC2EF2
Serial number: MT2046J03445   |    GUID: 043F720300EC2ED2



B2 Storage R1 

Serial number: MT2029T07650   |    GUID: 0C42A10300DD0ACE
Serial number: MT2018T11324   |    GUID: 0C42A103006F1414
Serial number: MT2018T10166   |    GUID: 0C42A103006F0BB4
Serial number: MT2018T10934   |    GUID: 0C42A103006F1D34
Serial number: MT2018T10732   |    GUID: 0C42A103006F1318
Serial number: MT2015T08644   |    GUID: 0C42A103005AB424
Serial number: MT2015T08638   |    GUID: 0C42A103005AB40C
Serial number: MT2015T08984   |    GUID: 0C42A103005AAEB4
Serial number: MT2018T11315   |    GUID: 0C42A103006F13F0
Serial number: MT2018T10563   |    GUID: 0C42A103006F1EBC
Serial number: MT2018T11326   |    GUID: 0C42A103006F141C
Serial number: MT2018T10849   |    GUID: 0C42A103006F1844
Serial number: MT2018T10522   |    GUID: 0C42A103006F1C1C
Serial number: MT2015T09139   |    GUID: 0C42A103005AB120
Serial number: MT2018T10355   |    GUID: 0C42A103006F1274
Serial number: MT2018T10856   |    GUID: 0C42A103006F1A04
Serial number: MT2018T11322   |    GUID: 0C42A103006F140C
Serial number: MT2018T11333   |    GUID: 0C42A103006F1438
Serial number: MT2018T09903   |    GUID: 0C42A103006F1E58
Serial number: MT2015T08647   |    GUID: 0C42A103005AB430
Serial number: MT2015T08661   |    GUID: 0C42A103005AB514
Serial number: MT2018T10164   |    GUID: 0C42A103006F0BAC
Serial number: MT2018T10808   |    GUID: 0C42A103006F17A0
Serial number: MT2018T10566   |    GUID: 0C42A103006F1EC8
Serial number: MT2018T11314   |    GUID: 0C42A103006F13EC
Serial number: MT2018T10324   |    GUID: 0C42A103006F1078
Serial number: MT2015T09152   |    GUID: 0C42A103005AB154
Serial number: MT2039J21508   |    GUID: 043F720300CF2CE2
Serial number: MT2039J21363   |    GUID: 043F720300CF285A
Serial number: MT2039J21427   |    GUID: 043F720300CF2A5A
Serial number: MT2039J21397   |    GUID: 043F720300CF296A
Serial number: MT2039J22459   |    GUID: 043F720300CF4AAA
Serial number: MT2025J25475   |    GUID: 0C42A10300B94742
Serial number: MT2025J25585   |    GUID: 0C42A10300B94AB2
Serial number: MT2025J25508   |    GUID: 0C42A10300B9484A
Serial number: MT2025J25572   |    GUID: 0C42A10300B94A4A
Serial number: MT2025J25580   |    GUID: 0C42A10300B94A8A
